state,date,positive,negative,pending,hospitalized,death,totalTestResults,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,total
MI,20200308,0.0,26.0,10.0,,,26,0.0,0.0,8.0,0.0,8.0,36
MN,20200308,1.0,48.0,,,,49,0.0,0.0,0.0,0.0,0.0,49
MO,20200308,1.0,,,,,1,0.0,0.0,0.0,1.0,1.0,1
MS,20200308,0.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0
MT,20200308,0.0,11.0,,,,11,0.0,0.0,0.0,0.0,0.0,11
NC,20200308,2.0,,,,,2,0.0,0.0,0.0,0.0,0.0,2
ND,20200308,0.0,0.0,,,,0,0.0,0.0,0.0,0.0,0.0,0
NE,20200308,1.0,17.0,5.0,,,18,0.0,0.0,0.0,0.0,0.0,23
NH,20200308,4.0,38.0,5.0,,,42,0.0,0.0,18.0,2.0,20.0,47
NJ,20200308,6.0,31.0,0.0,,,37,0.0,0.0,31.0,2.0,33.0,37
NM,20200308,0.0,48.0,0.0,,,48,0.0,0.0,0.0,0.0,0.0,48
NV,20200308,1.0,14.0,,,,15,0.0,0.0,0.0,0.0,0.0,15
NY,20200308,105.0,92.0,,,,197,0.0,0.0,0.0,29.0,29.0,197
OH,20200308,0.0,10.0,4.0,,,10,0.0,0.0,1.0,0.0,1.0,14
OK,20200308,1.0,8.0,2.0,,,9,0.0,0.0,8.0,0.0,8.0,11
OR,20200308,14.0,100.0,53.0,,,114,0.0,0.0,23.0,7.0,30.0,167
PA,20200308,4.0,,,,,4,0.0,0.0,0.0,2.0,2.0,4
RI,20200308,3.0,30.0,12.0,,,33,0.0,0.0,30.0,1.0,31.0,45
SC,20200308,2.0,8.0,,,,10,0.0,0.0,0.0,0.0,0.0,10
SD,20200308,0.0,5.0,0.0,,,5,0.0,0.0,0.0,0.0,0.0,5
TN,20200308,3.0,,,,,3,0.0,0.0,0.0,2.0,2.0,3
TX,20200308,8.0,,,,,8,0.0,0.0,0.0,0.0,0.0,8
UT,20200308,1.0,,,,,1,0.0,0.0,0.0,0.0,0.0,1
VA,20200308,2.0,36.0,6.0,,,38,0.0,0.0,5.0,2.0,7.0,44
VT,20200308,1.0,28.0,,,,29,0.0,0.0,12.0,1.0,13.0,29
WA,20200308,102.0,640.0,60.0,,,742,0.0,0.0,270.0,0.0,270.0,802
WI,20200308,1.0,31.0,12.0,,,32,0.0,0.0,0.0,0.0,0.0,44
WV,20200308,0.0,2.0,3.0,,,2,0.0,0.0,0.0,0.0,0.0,5
WY,20200308,0.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0
AK,20200307,0.0,12.0,2.0,,,12,0.0,0.0,4.0,0.0,4.0,14
AL,20200307,0.0,,,,,0,,,,,,0
AR,20200307,0.0,6.0,0.0,,,6,0.0,0.0,0.0,0.0,0.0,6
AZ,20200307,5.0,44.0,7.0,,,49,0.0,0.0,11.0,2.0,13.0,56
CA,20200307,69.0,462.0,,,,531,0.0,0.0,0.0,9.0,9.0,531
CO,20200307,8.0,55.0,69.0,,,63,0.0,0.0,9.0,6.0,15.0,132
CT,20200307,0.0,,,,,0,,,,,,0
DC,20200307,0.0,8.0,1.0,,,8,0.0,0.0,0.0,0.0,0.0,9
DE,20200307,0.0,10.0,0.0,,,10,0.0,0.0,0.0,0.0,0.0,10
FL,20200307,14.0,100.0,88.0,,,114,0.0,0.0,45.0,5.0,50.0,202
GA,20200307,6.0,,,,,6,0.0,0.0,0.0,4.0,4.0,6
HI,20200307,1.0,,,,,1,,,,,,1
IA,20200307,0.0,15.0,2.0,,,15,0.0,0.0,0.0,0.0,0.0,17
ID,20200307,0.0,27.0,,,,27,,,,,,27
IL,20200307,6.0,191.0,44.0,,,197,0.0,0.0,11.0,1.0,12.0,241
IN,20200307,1.0,,,,,1,0.0,0.0,0.0,0.0,0.0,1
KS,20200307,0.0,11.0,2.0,,,11,0.0,0.0,7.0,0.0,7.0,13
KY,20200307,1.0,9.0,,,,10,0.0,0.0,2.0,1.0,3.0,10
LA,20200307,0.0,,,,,0,,,,,,0
MA,20200307,13.0,,,,,13,0.0,0.0,0.0,5.0,5.0,13
MD,20200307,3.0,41.0,,,,44,0.0,0.0,15.0,0.0,15.0,44
ME,20200307,0.0,1.0,,,,1,,,,,,1
MI,20200307,0.0,18.0,9.0,,,18,0.0,0.0,10.0,0.0,10.0,27
MN,20200307,1.0,48.0,,,,49,0.0,0.0,12.0,1.0,13.0,49
MO,20200307,0.0,,,,,0,,,,,,0
MS,20200307,0.0,,,,,0,,,,,,0
MT,20200307,0.0,11.0,,,,11,,,,,,11
NC,20200307,2.0,,,,,2,0.0,0.0,0.0,0.0,0.0,2
ND,20200307,0.0,0.0,,,,0,,,,,,0
NE,20200307,1.0,17.0,5.0,,,18,0.0,0.0,0.0,1.0,1.0,23
NH,20200307,2.0,20.0,3.0,,,22,0.0,0.0,0.0,0.0,0.0,25
NJ,20200307,4.0,,1.0,,,4,0.0,0.0,0.0,3.0,3.0,5
NM,20200307,0.0,48.0,0.0,,,48,0.0,0.0,32.0,0.0,32.0,48
NV,20200307,1.0,14.0,,,,15,0.0,0.0,0.0,0.0,0.0,15
NY,20200307,76.0,92.0,236.0,,,168,0.0,0.0,0.0,43.0,43.0,404
OH,20200307,0.0,9.0,5.0,,,9,0.0,0.0,1.0,0.0,1.0,14
OK,20200307,1.0,,,,,1,,,,,,1
OR,20200307,7.0,77.0,40.0,,,84,0.0,0.0,13.0,4.0,17.0,124
PA,20200307,2.0,,,,,2,0.0,0.0,0.0,0.0,0.0,2
RI,20200307,2.0,,,,,2,,,,,,2
SC,20200307,2.0,8.0,,,,10,0.0,0.0,3.0,2.0,5.0,10
SD,20200307,0.0,5.0,0.0,,,5,,,,,,5
TN,20200307,1.0,,,,,1,0.0,0.0,0.0,0.0,0.0,1
TX,20200307,8.0,,,,,8,0.0,0.0,0.0,3.0,3.0,8
UT,20200307,1.0,,,,,1,,,,,,1
VA,20200307,0.0,31.0,7.0,,,31,0.0,0.0,10.0,0.0,10.0,38
VT,20200307,0.0,16.0,,,,16,0.0,0.0,8.0,0.0,8.0,16
WA,20200307,102.0,370.0,66.0,,,472,0.0,0.0,0.0,23.0,23.0,538
WI,20200307,1.0,31.0,12.0,,,32,0.0,0.0,0.0,0.0,0.0,44
WV,20200307,0.0,2.0,3.0,,,2,0.0,0.0,1.0,0.0,1.0,5
WY,20200307,0.0,,,,,0,,,,,,0
AK,20200306,0.0,8.0,1.0,,,8,,,,,,9
AR,20200306,0.0,6.0,0.0,,,6,,,,,,6
AZ,20200306,3.0,33.0,15.0,,,36,0.0,0.0,5.0,1.0,6.0,51
CA,20200306,60.0,462.0,,,,522,0.0,0.0,0.0,7.0,7.0,522
CO,20200306,2.0,46.0,30.0,,,48,0.0,0.0,27.0,2.0,29.0,78
DC,20200306,0.0,8.0,1.0,,,8,0.0,0.0,2.0,0.0,2.0,9
DE,20200306,0.0,10.0,0.0,,,10,,,,,,10
FL,20200306,9.0,55.0,51.0,,,64,0.0,0.0,24.0,0.0,24.0,115
GA,20200306,2.0,,,,,2,0.0,0.0,0.0,0.0,0.0,2
IA,20200306,0.0,15.0,2.0,,,15,,,,,,17
IL,20200306,5.0,180.0,35.0,,,185,0.0,0.0,15.0,0.0,15.0,220
IN,20200306,1.0,,,,,1,,,,,,1
KS,20200306,0.0,4.0,0.0,,,4,,,,,,4
KY,20200306,0.0,7.0,3.0,,,7,,,,,,10
MA,20200306,8.0,,,,,8,0.0,0.0,0.0,6.0,6.0,8
MD,20200306,3.0,26.0,12.0,,,29,0.0,0.0,9.0,3.0,12.0,41
MI,20200306,0.0,8.0,8.0,,,8,0.0,0.0,0.0,0.0,0.0,16
MN,20200306,0.0,36.0,,,,36,,,,,,36
NC,20200306,2.0,,,,,2,0.0,0.0,0.0,1.0,1.0,2
NE,20200306,0.0,17.0,5.0,,,17,0.0,0.0,0.0,0.0,0.0,22
NH,20200306,2.0,20.0,3.0,,,22,0.0,0.0,4.0,0.0,4.0,25
NJ,20200306,1.0,,,,,1,0.0,0.0,0.0,0.0,0.0,1
NM,20200306,0.0,16.0,0.0,,,16,,,,,,16
NV,20200306,1.0,14.0,,,,15,0.0,0.0,0.0,0.0,0.0,15
NY,20200306,33.0,92.0,236.0,,,125,0.0,0.0,16.0,11.0,27.0,361
OH,20200306,0.0,8.0,2.0,,,8,0.0,0.0,1.0,0.0,1.0,10
OR,20200306,3.0,64.0,28.0,,,67,0.0,0.0,19.0,0.0,19.0,95
PA,20200306,2.0,,,,,2,,,,,,2
SC,20200306,0.0,5.0,0.0,,,5,0.0,0.0,0.0,0.0,0.0,5
TN,20200306,1.0,,,,,1,0.0,0.0,0.0,0.0,0.0,1
TX,20200306,5.0,,,,,5,0.0,0.0,0.0,4.0,4.0,5
VA,20200306,0.0,21.0,10.0,,,21,0.0,0.0,3.0,0.0,3.0,31
VT,20200306,0.0,8.0,,,,8,,,,,,8
WA,20200306,79.0,370.0,,,,449,0.0,0.0,370.0,9.0,379.0,449
WI,20200306,1.0,31.0,12.0,,,32,0.0,0.0,12.0,0.0,12.0,44
WV,20200306,0.0,1.0,4.0,,,1,,,,,,5
AZ,20200305,2.0,28.0,6.0,,,30,0.0,0.0,1.0,0.0,1.0,36
CA,20200305,53.0,462.0,,,,515,0.0,0.0,0.0,0.0,0.0,515
CO,20200305,0.0,19.0,21.0,,,19,,,,,,40
DC,20200305,0.0,6.0,2.0,,,6,,,,,,8
FL,20200305,9.0,31.0,69.0,,,40,0.0,0.0,7.0,7.0,14.0,109
GA,20200305,2.0,,,,,2,0.0,0.0,0.0,0.0,0.0,2
IL,20200305,5.0,165.0,27.0,,,170,0.0,0.0,41.0,1.0,42.0,197
MA,20200305,2.0,,,,,2,0.0,0.0,0.0,0.0,0.0,2
MD,20200305,0.0,17.0,14.0,,,17,,,,,,31
MI,20200305,0.0,8.0,0.0,,,8,,,,,,8
NC,20200305,1.0,,,,,1,0.0,0.0,0.0,0.0,0.0,1
NE,20200305,0.0,17.0,5.0,,,17,,,,,,22
NH,20200305,2.0,16.0,4.0,,,18,0.0,0.0,6.0,0.0,6.0,22
NJ,20200305,1.0,,,,,1,,,,,,1
NV,20200305,1.0,14.0,,,,15,,,,,,15
NY,20200305,22.0,76.0,24.0,,,98,0.0,0.0,28.0,16.0,44.0,122
OH,20200305,0.0,7.0,3.0,,,7,,,,,,10
OR,20200305,3.0,45.0,13.0,,,48,0.0,0.0,16.0,0.0,16.0,61
SC,20200305,0.0,5.0,0.0,,,5,0.0,0.0,0.0,0.0,0.0,5
TN,20200305,1.0,,,,,1,,,,,,1
TX,20200305,1.0,,,,,1,0.0,0.0,0.0,0.0,0.0,1
VA,20200305,0.0,18.0,3.0,,,18,,,,,,21
WA,20200305,70.0,,,,,70,0.0,0.0,0.0,31.0,31.0,70
WI,20200305,1.0,19.0,6.0,,,20,0.0,0.0,0.0,0.0,0.0,26
AZ,20200304,2.0,27.0,5.0,,,29,,,,,,34
CA,20200304,53.0,462.0,,,,515,,,,,,515
FL,20200304,2.0,24.0,16.0,,,26,,,,,,42
GA,20200304,2.0,,,,,2,,,,,,2
IL,20200304,4.0,124.0,27.0,,,128,,,,,,155
MA,20200304,2.0,,,,,2,,,,,,2
NC,20200304,1.0,,,,,1,,,,,,1
NH,20200304,2.0,10.0,7.0,,,12,,,,,,19
NY,20200304,6.0,48.0,24.0,,,54,,,,,,78
OR,20200304,3.0,29.0,18.0,,,32,,,,,,50
SC,20200304,0.0,5.0,0.0,,,5,,,,,,5
TX,20200304,1.0,,,,,1,,,,,,1
WA,20200304,39.0,,,,,39,,,,,,39
WI,20200304,1.0,19.0,6.0,,,20,,,,,,26
